

==> Preparing data..
Files already downloaded and verified
151 Loss: 1.315 | Acc: 54.910
152 Loss: 1.312 | Acc: 54.930
153 Loss: 1.310 | Acc: 54.940
154 Loss: 1.308 | Acc: 54.970
155 Loss: 1.305 | Acc: 55.060
156 Loss: 1.303 | Acc: 55.080
157 Loss: 1.300 | Acc: 55.170
158 Loss: 1.298 | Acc: 55.260
159 Loss: 1.295 | Acc: 55.210
160 Loss: 1.293 | Acc: 55.280
161 Loss: 1.291 | Acc: 55.400
162 Loss: 1.288 | Acc: 55.510
163 Loss: 1.286 | Acc: 55.570
164 Loss: 1.283 | Acc: 55.680
165 Loss: 1.281 | Acc: 55.690
166 Loss: 1.279 | Acc: 55.780
167 Loss: 1.276 | Acc: 55.890
168 Loss: 1.274 | Acc: 55.930
169 Loss: 1.272 | Acc: 56.070
170 Loss: 1.269 | Acc: 56.200
171 Loss: 1.267 | Acc: 56.370
172 Loss: 1.265 | Acc: 56.440
173 Loss: 1.263 | Acc: 56.560
174 Loss: 1.260 | Acc: 56.600
175 Loss: 1.258 | Acc: 56.620
176 Loss: 1.256 | Acc: 56.640
177 Loss: 1.253 | Acc: 56.670
178 Loss: 1.251 | Acc: 56.770
179 Loss: 1.249 | Acc: 56.890
180 Loss: 1.247 | Acc: 56.990
181 Loss: 1.244 | Acc: 57.030
182 Loss: 1.242 | Acc: 57.150
183 Loss: 1.240 | Acc: 57.240
184 Loss: 1.238 | Acc: 57.350
185 Loss: 1.235 | Acc: 57.450
186 Loss: 1.233 | Acc: 57.560
187 Loss: 1.231 | Acc: 57.680
188 Loss: 1.229 | Acc: 57.760
189 Loss: 1.227 | Acc: 57.880
190 Loss: 1.224 | Acc: 57.940
191 Loss: 1.222 | Acc: 58.080
192 Loss: 1.220 | Acc: 58.170
193 Loss: 1.218 | Acc: 58.240
194 Loss: 1.216 | Acc: 58.250
195 Loss: 1.214 | Acc: 58.270
196 Loss: 1.211 | Acc: 58.350
197 Loss: 1.209 | Acc: 58.480
198 Loss: 1.207 | Acc: 58.590
199 Loss: 1.205 | Acc: 58.710
running k-means on cuda..
[running kmeans]: 17it [00:03,  6.00it/s, center_shift=0.000000, iteration=17, tol=0.000100]
torch.Size([10000])
0 Loss: 0.655 | Acc: 90.050
1 Loss: 0.648 | Acc: 90.050
2 Loss: 0.631 | Acc: 90.050
3 Loss: 0.627 | Acc: 90.050
4 Loss: 0.625 | Acc: 90.050
5 Loss: 0.625 | Acc: 90.050
6 Loss: 0.624 | Acc: 90.050
7 Loss: 0.624 | Acc: 90.050
8 Loss: 0.624 | Acc: 90.050
9 Loss: 0.623 | Acc: 90.050
10 Loss: 0.623 | Acc: 90.050
11 Loss: 0.623 | Acc: 90.050
12 Loss: 0.622 | Acc: 90.050
13 Loss: 0.622 | Acc: 90.050
14 Loss: 0.622 | Acc: 90.050
15 Loss: 0.621 | Acc: 90.050
16 Loss: 0.621 | Acc: 90.050
17 Loss: 0.620 | Acc: 90.050
18 Loss: 0.620 | Acc: 90.050
19 Loss: 0.620 | Acc: 90.050
20 Loss: 0.619 | Acc: 90.050
21 Loss: 0.619 | Acc: 90.050
22 Loss: 0.619 | Acc: 90.050
23 Loss: 0.618 | Acc: 90.050
24 Loss: 0.618 | Acc: 90.050
25 Loss: 0.618 | Acc: 90.050
26 Loss: 0.617 | Acc: 90.050
27 Loss: 0.617 | Acc: 90.050
28 Loss: 0.617 | Acc: 90.050
29 Loss: 0.616 | Acc: 90.050
30 Loss: 0.616 | Acc: 90.050
31 Loss: 0.616 | Acc: 90.050
32 Loss: 0.615 | Acc: 90.050
33 Loss: 0.615 | Acc: 90.050
34 Loss: 0.615 | Acc: 90.050
35 Loss: 0.614 | Acc: 90.050
36 Loss: 0.614 | Acc: 90.050
37 Loss: 0.614 | Acc: 90.050
38 Loss: 0.613 | Acc: 90.050
39 Loss: 0.613 | Acc: 90.050
0 Loss: 2.306 | Acc: 11.560
1 Loss: 2.226 | Acc: 17.650
2 Loss: 2.170 | Acc: 20.410
3 Loss: 2.121 | Acc: 23.620
4 Loss: 2.078 | Acc: 25.180
5 Loss: 2.040 | Acc: 26.860
6 Loss: 2.006 | Acc: 28.890
7 Loss: 1.975 | Acc: 31.350
8 Loss: 1.950 | Acc: 32.400
9 Loss: 1.927 | Acc: 33.070
10 Loss: 1.907 | Acc: 33.760
11 Loss: 1.889 | Acc: 34.730
12 Loss: 1.873 | Acc: 35.280
13 Loss: 1.860 | Acc: 35.920
14 Loss: 1.848 | Acc: 36.330
15 Loss: 1.838 | Acc: 36.690
16 Loss: 1.827 | Acc: 37.040
17 Loss: 1.816 | Acc: 37.900
18 Loss: 1.805 | Acc: 38.510
19 Loss: 1.795 | Acc: 38.960
20 Loss: 1.785 | Acc: 39.300
21 Loss: 1.775 | Acc: 39.550
22 Loss: 1.767 | Acc: 39.580
23 Loss: 1.758 | Acc: 39.830
24 Loss: 1.750 | Acc: 40.100
25 Loss: 1.743 | Acc: 40.440
26 Loss: 1.736 | Acc: 40.700
27 Loss: 1.730 | Acc: 40.840
28 Loss: 1.724 | Acc: 40.970
29 Loss: 1.718 | Acc: 41.230
30 Loss: 1.712 | Acc: 41.610
31 Loss: 1.706 | Acc: 41.910
32 Loss: 1.700 | Acc: 42.140
33 Loss: 1.694 | Acc: 42.400
34 Loss: 1.688 | Acc: 42.820
35 Loss: 1.683 | Acc: 42.870
36 Loss: 1.677 | Acc: 43.170
37 Loss: 1.672 | Acc: 43.260
38 Loss: 1.667 | Acc: 43.550
39 Loss: 1.662 | Acc: 43.640
40 Loss: 1.657 | Acc: 43.750
41 Loss: 1.652 | Acc: 43.940
42 Loss: 1.647 | Acc: 44.220
43 Loss: 1.642 | Acc: 44.450
44 Loss: 1.637 | Acc: 44.660
45 Loss: 1.632 | Acc: 44.930
46 Loss: 1.627 | Acc: 45.140
47 Loss: 1.623 | Acc: 45.470
48 Loss: 1.618 | Acc: 45.630
49 Loss: 1.613 | Acc: 45.970
50 Loss: 1.608 | Acc: 46.140
51 Loss: 1.604 | Acc: 46.390
52 Loss: 1.599 | Acc: 46.580
53 Loss: 1.595 | Acc: 46.780
54 Loss: 1.590 | Acc: 46.840
55 Loss: 1.586 | Acc: 47.030
56 Loss: 1.582 | Acc: 47.180
57 Loss: 1.577 | Acc: 47.370
58 Loss: 1.573 | Acc: 47.570
59 Loss: 1.569 | Acc: 47.770
60 Loss: 1.564 | Acc: 47.870
61 Loss: 1.560 | Acc: 47.990
62 Loss: 1.556 | Acc: 48.140
63 Loss: 1.552 | Acc: 48.250
64 Loss: 1.548 | Acc: 48.460
65 Loss: 1.543 | Acc: 48.660
66 Loss: 1.539 | Acc: 48.850
67 Loss: 1.535 | Acc: 49.030
68 Loss: 1.531 | Acc: 49.120
69 Loss: 1.527 | Acc: 49.230
70 Loss: 1.523 | Acc: 49.350
71 Loss: 1.519 | Acc: 49.460
72 Loss: 1.515 | Acc: 49.510
73 Loss: 1.511 | Acc: 49.700
74 Loss: 1.507 | Acc: 49.750
75 Loss: 1.503 | Acc: 49.940
76 Loss: 1.499 | Acc: 50.060
77 Loss: 1.495 | Acc: 50.190
78 Loss: 1.491 | Acc: 50.280
79 Loss: 1.487 | Acc: 50.400
80 Loss: 1.483 | Acc: 50.510
81 Loss: 1.479 | Acc: 50.720
82 Loss: 1.475 | Acc: 50.880
83 Loss: 1.471 | Acc: 51.050
84 Loss: 1.468 | Acc: 51.190
85 Loss: 1.464 | Acc: 51.440
86 Loss: 1.460 | Acc: 51.480
87 Loss: 1.456 | Acc: 51.560
88 Loss: 1.452 | Acc: 51.770
89 Loss: 1.448 | Acc: 51.920
90 Loss: 1.445 | Acc: 51.950
91 Loss: 1.441 | Acc: 52.140
92 Loss: 1.437 | Acc: 52.160
93 Loss: 1.433 | Acc: 52.330
94 Loss: 1.430 | Acc: 52.470
95 Loss: 1.426 | Acc: 52.590
96 Loss: 1.422 | Acc: 52.740
97 Loss: 1.418 | Acc: 52.940
98 Loss: 1.415 | Acc: 52.900
99 Loss: 1.411 | Acc: 53.120
100 Loss: 1.408 | Acc: 53.210
101 Loss: 1.404 | Acc: 53.430
102 Loss: 1.401 | Acc: 53.560
103 Loss: 1.398 | Acc: 53.710
104 Loss: 1.394 | Acc: 53.880
105 Loss: 1.390 | Acc: 54.090
106 Loss: 1.387 | Acc: 54.110
107 Loss: 1.383 | Acc: 54.290
108 Loss: 1.379 | Acc: 54.450
109 Loss: 1.376 | Acc: 54.500
110 Loss: 1.373 | Acc: 54.810
111 Loss: 1.369 | Acc: 54.650
112 Loss: 1.366 | Acc: 54.910
113 Loss: 1.363 | Acc: 55.030
114 Loss: 1.359 | Acc: 55.220
115 Loss: 1.356 | Acc: 55.410
116 Loss: 1.353 | Acc: 55.290
117 Loss: 1.349 | Acc: 55.660
118 Loss: 1.346 | Acc: 55.680
119 Loss: 1.343 | Acc: 55.810
120 Loss: 1.340 | Acc: 56.010
121 Loss: 1.336 | Acc: 56.010
122 Loss: 1.333 | Acc: 56.330
123 Loss: 1.330 | Acc: 56.430
124 Loss: 1.326 | Acc: 56.600
125 Loss: 1.324 | Acc: 56.760
126 Loss: 1.320 | Acc: 56.850
127 Loss: 1.317 | Acc: 56.940
128 Loss: 1.314 | Acc: 56.990
129 Loss: 1.311 | Acc: 57.160
130 Loss: 1.308 | Acc: 57.180
131 Loss: 1.305 | Acc: 57.250
132 Loss: 1.301 | Acc: 57.510
133 Loss: 1.298 | Acc: 57.400
134 Loss: 1.295 | Acc: 57.650
135 Loss: 1.292 | Acc: 57.670
136 Loss: 1.289 | Acc: 57.830
137 Loss: 1.286 | Acc: 57.860
138 Loss: 1.283 | Acc: 58.020
139 Loss: 1.280 | Acc: 58.180
140 Loss: 1.277 | Acc: 58.210
141 Loss: 1.274 | Acc: 58.410
142 Loss: 1.271 | Acc: 58.580
143 Loss: 1.268 | Acc: 58.520
144 Loss: 1.265 | Acc: 58.700
145 Loss: 1.262 | Acc: 58.810
146 Loss: 1.259 | Acc: 58.870
147 Loss: 1.256 | Acc: 59.130
148 Loss: 1.254 | Acc: 58.990
149 Loss: 1.251 | Acc: 59.250
150 Loss: 1.248 | Acc: 59.220
151 Loss: 1.245 | Acc: 59.490
152 Loss: 1.242 | Acc: 59.610
153 Loss: 1.239 | Acc: 59.630
154 Loss: 1.237 | Acc: 59.780
155 Loss: 1.234 | Acc: 59.990
156 Loss: 1.231 | Acc: 60.080
157 Loss: 1.228 | Acc: 60.080
158 Loss: 1.225 | Acc: 60.130
159 Loss: 1.222 | Acc: 60.350
160 Loss: 1.220 | Acc: 60.470
161 Loss: 1.217 | Acc: 60.510
162 Loss: 1.214 | Acc: 60.530
163 Loss: 1.211 | Acc: 60.660
164 Loss: 1.209 | Acc: 60.830
165 Loss: 1.206 | Acc: 60.810
166 Loss: 1.203 | Acc: 60.990
167 Loss: 1.201 | Acc: 61.080
168 Loss: 1.198 | Acc: 61.080
169 Loss: 1.195 | Acc: 61.190
170 Loss: 1.193 | Acc: 61.240
171 Loss: 1.190 | Acc: 61.400
172 Loss: 1.188 | Acc: 61.380
173 Loss: 1.185 | Acc: 61.560
174 Loss: 1.183 | Acc: 61.580
175 Loss: 1.180 | Acc: 61.740
176 Loss: 1.178 | Acc: 61.670
177 Loss: 1.175 | Acc: 61.880
178 Loss: 1.173 | Acc: 61.940
179 Loss: 1.170 | Acc: 62.040
180 Loss: 1.168 | Acc: 62.190
181 Loss: 1.165 | Acc: 62.210
182 Loss: 1.162 | Acc: 62.380
183 Loss: 1.160 | Acc: 62.370
184 Loss: 1.158 | Acc: 62.570
185 Loss: 1.156 | Acc: 62.590
186 Loss: 1.153 | Acc: 62.650
187 Loss: 1.150 | Acc: 62.870
188 Loss: 1.148 | Acc: 62.800
189 Loss: 1.145 | Acc: 63.020
190 Loss: 1.143 | Acc: 63.130
191 Loss: 1.141 | Acc: 62.930
192 Loss: 1.138 | Acc: 63.340
193 Loss: 1.136 | Acc: 63.240
194 Loss: 1.134 | Acc: 63.430
195 Loss: 1.132 | Acc: 63.450
196 Loss: 1.131 | Acc: 63.310
197 Loss: 1.130 | Acc: 63.540
198 Loss: 1.127 | Acc: 63.420
199 Loss: 1.123 | Acc: 63.820
running k-means on cuda..
[running kmeans]: 17it [00:02,  6.03it/s, center_shift=0.000000, iteration=17, tol=0.000100]
torch.Size([10000])
0 Loss: 0.708 | Acc: 39.930
1 Loss: 0.671 | Acc: 70.980
2 Loss: 0.622 | Acc: 77.260
3 Loss: 0.577 | Acc: 78.620
4 Loss: 0.542 | Acc: 79.100
5 Loss: 0.523 | Acc: 80.380
6 Loss: 0.515 | Acc: 80.770
7 Loss: 0.509 | Acc: 81.000
8 Loss: 0.503 | Acc: 81.280
9 Loss: 0.502 | Acc: 81.930
10 Loss: 0.511 | Acc: 79.700
11 Loss: 0.493 | Acc: 82.370
12 Loss: 0.500 | Acc: 81.900
13 Loss: 0.497 | Acc: 81.500
14 Loss: 0.494 | Acc: 81.830
15 Loss: 0.492 | Acc: 82.180
16 Loss: 0.490 | Acc: 82.230
17 Loss: 0.486 | Acc: 82.570
18 Loss: 0.487 | Acc: 82.490
19 Loss: 0.481 | Acc: 83.010
20 Loss: 0.484 | Acc: 82.860
21 Loss: 0.478 | Acc: 83.310
22 Loss: 0.480 | Acc: 82.890
23 Loss: 0.476 | Acc: 83.260
24 Loss: 0.476 | Acc: 83.540
25 Loss: 0.474 | Acc: 83.750
26 Loss: 0.472 | Acc: 83.690
27 Loss: 0.471 | Acc: 83.800
28 Loss: 0.469 | Acc: 83.990
29 Loss: 0.469 | Acc: 84.030
30 Loss: 0.466 | Acc: 84.260
31 Loss: 0.466 | Acc: 84.490
32 Loss: 0.464 | Acc: 84.330
33 Loss: 0.462 | Acc: 84.420
34 Loss: 0.461 | Acc: 84.750
35 Loss: 0.459 | Acc: 84.990
36 Loss: 0.458 | Acc: 84.820
37 Loss: 0.455 | Acc: 85.030
38 Loss: 0.455 | Acc: 85.240
39 Loss: 0.453 | Acc: 85.230
0 Loss: 2.328 | Acc: 10.360
1 Loss: 2.285 | Acc: 11.980
2 Loss: 2.216 | Acc: 17.930
3 Loss: 2.177 | Acc: 20.060
4 Loss: 2.152 | Acc: 22.380
